Datum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020053026285887433,0.12691462767972123,0.08470570411332475,0.032107416104840546,0.04798045602605863,0.021073403530035603,0.011690781001439285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055260965078403154,0.2399212180895387,0.29931065828346337,0.3187410044693584,0.36832058177410804,0.1420649950761306,0.3111658207711537,0.09281115067040376,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03541852889932581,0.038472842966441934,0.05126051056738126,0.07094235285205666,0.046010150746155595,0.06875615483675479,0.06909173547458526,0.030718127414589808,0.02070600712067268,0.024388303916369973,0.0,0.0,0.0,0.0,0.0
2005-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06657525945004167,0.13218695553367169,0.34920839330353765,0.5267328232709644,0.6304976895689721,0.6136504810241649,0.6082569502310432,0.5585182940686312,0.42742216498750096,0.28419059162184684,0.20520415120066662,0.04958033482311946,0.0,0.0,0.0,0.0
2005-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04385349594727672,0.15544276948716007,0.281569578062268,0.4222861904401182,0.32328611468828117,0.44225437466858575,0.6265131429437164,0.42270282554351946,0.4328762972502084,0.22483902734641317,0.10847663055829103,0.059041739262177116,0.04249905310203773,0.0,0.0,0.0,0.0
2005-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.026449511400651465,0.06414892811150671,0.11875615483675481,0.2526854026210136,0.279236421483221,0.3204984470873419,0.38273615635179153,0.390894629194758,0.3609953791379441,0.22465722293765625,0.16997197182031665,0.12148322096810849,0.09604575410953717,0.1258616771456708,0.0306105598060753,0.0,0.0,0.0
2005-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.026644951140065147,0.022568744792061207,0.08210741610484054,0.11636997197182032,0.1521021134762518,0.09362927050980986,0.15693508067570638,0.2268085751079464,0.2841299901522612,0.3434588288766003,0.18119839406105598,0.07293538368305431,0.08181198394061057,0.06516476024543595,0.012164229982577077,0.0,0.0,0.0
2005-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024581471100674195,0.10902961896826,0.11767290356791153,0.30268161502916446,0.21178698583440647,0.2446102567987274,0.6879554579198546,0.5303234603439134,0.6580259071282478,0.6628664495114006,0.5164911749109916,0.29162942201348385,0.1929929550791607,0.032057419892432396,0.0,0.0,0.0
2005-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021187788803878494,0.10549200818119839,0.09024316339671237,0.07496401787743352,0.08588743277024467,0.21719566699492465,0.21502158927353993,0.1522460419665177,0.1588970532535414,0.25062495265510193,0.453367169153852,0.26948716006363155,0.09088705401105977,0.0,0.0,0.0,0.0
2005-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058163775471555185,0.19243996666919172,0.3357094159533369,0.30184076963866374,0.4858722824028483,0.17806226800999925,0.6346791909703811,0.21579425801075677,0.38169835618513753,0.19465949549276573,0.07888038784940535,0.0,0.0,0.0,0.0,0.0
