Datum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28336489659874253,0.4618362245284448,0.5689417468373608,0.6367017650178017,0.6368835694265587,0.5853041436254829,0.4597985001136278,0.2988334217104765,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0794333762593743,0.303514885235967,0.47960003030073484,0.6079463676994167,0.7025301113552004,0.6905007196424513,0.6525945004166351,0.5372093023255814,0.36655556397242633,0.1305507158548595,0.0,0.0,0.0,0.0,0.0
2005-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09242481630179533,0.2769865919248542,0.26170744640557536,0.3530111355200364,0.6880312097568366,0.7454889781077192,0.7002802817968337,0.581827134308007,0.4260586319218242,0.13843648208469056,0.0,0.0,0.0,0.0,0.0
2005-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07923642148322096,0.25977577456253315,0.4537686538898568,0.5420346943413378,0.6299144004242103,0.5377092644496629,0.5687296416938111,0.3965229906825241,0.207734262555867,0.16412393000530265,0.0912582380122718,0.021949852283917885,0.0,0.0,0.0,0.0
2005-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022590712824786002,0.13572456632073326,0.3397394136807818,0.50510567381259,0.6468525111733959,0.7494886751003712,0.7866070752215742,0.5968108476630559,0.34204984470873423,0.22430876448753884,0.40137868343307326,0.21861222634648889,0.06594197409287175,0.0,0.0,0.0,0.0
2005-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03172941443830013,0.15817741080221195,0.3264676918415272,0.4214301946822211,0.5822664949625028,0.5842663434588289,0.6245435951821833,0.6604575410953716,0.5891220362093782,0.4819710627982729,0.43567154003484587,0.2449738656162412,0.10261343837588063,0.0,0.0,0.0,0.0
2005-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030479509128096355,0.168911446102568,0.3369820468146353,0.5040678736459359,0.6380501477160821,0.7302174077721385,0.797742595257935,0.7796379062192259,0.7389515945761685,0.6298840996894175,0.47502461934701923,0.3065449587152489,0.12772517233542915,0.0149185667752443,0.0,0.0,0.0
2005-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023469434133777743,0.12416483599727293,0.3100446935838194,0.4301643814862511,0.6124990531020377,0.6850390121960458,0.7881221119612152,0.8034239830315885,0.7342625558669797,0.6176577532005152,0.48041057495644274,0.3020983258844027,0.031160518142564958,0.006532080902961897,0.0,0.0,0.0
2005-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12369517460798425,0.3079539428831149,0.5042193773199001,0.6502537686538898,0.76054844329975,0.8417544125445043,0.8127414589803804,0.7406863116430573,0.6072873267176729,0.45145064767820625,0.2507158548594804,0.06765169305355656,0.0,0.0,0.0,0.0
2005-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08973562608893265,0.28620559048556926,0.3124687523672449,0.6201499886372245,0.7343155821528673,0.7713809559881827,0.7840315127641846,0.6901598363760322,0.5483751230967351,0.3816377547155519,0.1851299144004242,0.0,0.0,0.0,0.0,0.0
2005-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023838345579880314,0.0850996136656314,0.4751230967350959,0.4036057874403454,0.3912355124611772,0.37332777819862134,0.4860237860768124,0.3901825619271268,0.31052193015680635,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347852435421559,0.3240890841602909,0.5346867661540793,0.5428755397318386,0.6527232785395046,0.6374441330202257,0.4902128626619196,0.46029088705401106,0.23386107113097496,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2931974850390122,0.1428831149155367,0.6324899628816,0.6726005605635937,0.4962654344367851,0.5564275433679267,0.497371411256723,0.3158472842966442,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2942504355730627,0.45790470418907664,0.6151958184985986,0.6958412241496857,0.68586470721915,0.6418150140140899,0.5042799787894857,0.3538292553594425,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27366866146504054,0.44442845238997053,0.580456026058632,0.665911673358079,0.6703128550867359,0.482789182637679,0.4868116051814257,0.33248996288159993,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20843117945610182,0.5004848117566851,0.5871373380804485,0.6883190667373684,0.5772517233542913,0.4698280433300508,0.4776001818044088,0.25966214680706007,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28140292402090755,0.4710021968032725,0.6088781152942959,0.6684417847132793,0.6804333005075374,0.6386334368608438,0.5025452617225967,0.32225588970532537,0.0,0.0,0.0,0.0,0.0,0.0
