Datum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00820240890841603,0.03614120142413454,0.012731611241572608,0.012800545413226271,0.02681009014468601,0.010665101128702371,0.009159912127869102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17825922278615258,0.3821452920233316,0.5027422164987501,0.5373229300810546,0.5373532308158473,0.4878039542458905,0.383455798803121,0.20286341943792138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010131050677978941,0.023793651996060906,0.09542458904628438,0.16004848117566853,0.14228467540337855,0.05116657828952353,0.04910385576850239,0.03493220210590107,0.030355276115445803,0.04502764942049845,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09241724111809711,0.2681160518142565,0.44695098856147264,0.5923263389137187,0.6904779940913568,0.7365199606090448,0.7019998484963261,0.6592682372547535,0.5606393455041285,0.3964623892129384,0.20601469585637452,0.04582001363533066,0.0,0.0,0.0,0.0,0.0
2005-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05118097113855011,0.12139231876373002,0.26460874176198773,0.4698962199833346,0.5656616922960382,0.7138474358003182,0.7640330278009242,0.7659268237254754,0.6881524126960079,0.5812514203469434,0.43101280206045,0.17104764790546173,0.10351488523596698,0.017255510946140445,0.0,0.0,0.0,0.0
2005-01-06,0.0,0.0,0.0,0.0,0.0,0.022719490947655484,0.08774335277630482,0.23061131732444515,0.20477236572986895,0.289675024619347,0.3910537080524203,0.6633436860843875,0.5096432088478146,0.4459131883948186,0.4870237103249754,0.36588894780698433,0.38915233694417095,0.20846905537459284,0.12585410196197258,0.038587985758654644,0.0,0.0,0.0,0.0
2005-01-07,0.0,0.0,0.0,0.0,0.0,0.020972653586849483,0.04045678357700174,0.09261419589425045,0.16009393227785776,0.25943489129611397,0.26842663434588293,0.1040375729111431,0.12495265510188622,0.12201348382698281,0.11105219301568063,0.15083705779865164,0.1883342171047648,0.13645935913945914,0.08911446102567988,0.03843572456632073,0.013406560109082647,0.0,0.0,0.0
2005-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.014892811150670404,0.08585713203545187,0.175721536247254,0.3670403757291114,0.52620256041209,0.7064616316945687,0.736822967956973,0.7520642375577608,0.5734035300356034,0.5091129459889403,0.46473751988485723,0.30562836148776606,0.14389061434739792,0.03510112870237104,0.0,0.0,0.0,0.0
2005-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13627755473070224,0.3114915536701765,0.4723808802363458,0.6044163320960534,0.7150140140898417,0.7613817135065526,0.7608514506476782,0.6899477312324824,0.5509506855541246,0.25815468525111734,0.23348988712976293,0.06934020149988637,0.0,0.0,0.0,0.0,0.0
2005-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08441027194909477,0.04075751836982047,0.08310734035300356,0.07673661086281343,0.04624119384895084,0.0336307855465495,0.06885690477994091,0.05312476327550943,0.014404969320506021,0.027214604954170142,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012624801151427924,0.024326187410044695,0.07678206196500266,0.06636391182486176,0.10228013029315962,0.1145519278842512,0.05499734868570563,0.015178395576092721,0.015835164002727067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422164987500947,0.3719036436633589,0.44226952503598216,0.5011438527384289,0.3387394894326188,0.40099992424816305,0.19566699492462694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299447011590031,0.28792515718506173,0.41336262404363305,0.18759942428603896,0.4447541852889933,0.06861071130974926,0.015685932883872437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10937807741837739,0.1242557382016514,0.07206120748428149,0.2317248693280812,0.15816226043481554,0.03164608741761988,0.02538065298083479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011832436936595712,0.05584349670479509,0.033627755473070224,0.034063328535716995,0.03038936444208772,0.28486478297098705,0.012755094311037045,0.015893492917203246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08950837057798652,0.24204984470873417,0.37238088023634575,0.4836906294977653,0.4737065373835316,0.4072039996969926,0.2685023861828649,0.014727672146049543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12883872433906524,0.2835770017422923,0.41417316869934095,0.053796682069540185,0.5176350276494206,0.42024089084160293,0.24559503067949398,0.012564957200212105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024178471327929704,0.05689947731232483,0.031260510567381265,0.07542383152791456,0.07583516400272707,0.052106658586470726,0.019356109385652603,0.0165691993030831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
