PVSYST 7.2.4
;File;File date;Description
Projekt;Madrid_Project.PRJ;03/08/21 17h06;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Madrid_PVGIS_SARAH_2005 nach 2016.SIT;03/08/21 17h06;Madrid;Spain;Europe;;
Wetterdaten;Cármenes_PVGIS_SARAH_2010.MET;03/08/21 17h04;Cármenes;PVGIS-SARAH;2010;
Simulationsvariante;Madrid_Project.VC0;03/08/21 17h47;Neue Simulationsvariante;
Simulation date;;03/08/21 17h50

Simulation:;Stundenwerte; von 01/01/10; bis 31/12/10 

Datum;GlobInc;EArray;E_Grid;HSol;AzSol;AngInc;AngProf;T_Amb;WindVel;TExtON;TArray;IArray;UArray;EOutInv
     ;W/m²;kW;kW;°;°;°;°;°C;m/s;°C;°C;A;V;kW

01/01/10 00:00;0;0;-0.012;0;0;90;0;0.0002;0;0;0;0;0;-0.012
01/01/10 01:00;0;0;-0.012;0;0;90;0;2.1797;5.86;0;0;0;0;-0.012
01/01/10 02:00;0;0;-0.012;0;0;90;0;2.1902;6.06;0;0;0;0;-0.012
01/01/10 03:00;0;0;-0.012;0;0;90;0;2.2;6.26;0;0;0;0;-0.012
01/01/10 04:00;0;0;-0.012;0;0;90;0;2.2202;6.4601;0;0;0;0;-0.012
01/01/10 05:00;0;0;-0.012;0;0;90;0;2.3802;6.26;0;0;0;0;-0.012
01/01/10 06:00;0;0;-0.012;0;0;90;0;2.5402;6.06;0;0;0;0;-0.012
01/01/10 07:00;0;0;-0.012;0;0;90;0;2.7001;5.86;0;0;0;0;-0.012
01/01/10 08:00;0;0;-0.012;0;0;90;0;3.1898;6.9499;0;0;0;0;-0.012
01/01/10 09:00;177.12;47.154;45.926;4.603;-54.543;68.985;7.9015;3.6697;8.03;0;9.5082;69.16;681.81;45.926
01/01/10 10:00;234.76;66.91;65.679;13.105;-43.806;56.783;17.879;4.1601;9.12;0;12.437;98.206;681.32;65.679
01/01/10 11:00;311.95;89.261;87.969;20.08;-31.349;45.703;23.173;4.9299;9.9199;0;16.038;131.72;677.67;87.969
01/01/10 12:00;423.59;120.44;118.85;24.795;-17.287;37.194;25.818;5.7101;10.72;0;20.894;179.57;670.67;118.85
01/01/10 13:00;614.27;171.61;169.53;26.723;-2.0864;33.308;26.738;6.4897;11.52;0;28.76;262.82;652.94;169.53
01/01/10 14:00;667.52;185.08;182.78;25.607;13.267;35.596;26.216;6.8097;10.08;0;31.063;285.76;647.67;182.78
01/01/10 15:00;466.95;131.6;129.91;21.598;27.707;43.083;24.093;7.1401;8.65;0;23.921;198.34;663.54;129.91
01/01/10 16:00;362.28;102.25;100.85;15.175;40.61;53.627;19.66;7.46;7.2099;0;20.373;152.68;669.71;100.85
01/01/10 17:00;173.36;47.191;45.963;6.9177;51.908;65.762;11.126;6.92;5.85;0;12.847;70.048;673.69;45.963
01/01/10 18:00;0;0;-0.012;1.1437;58.195;73.695;2.1694;6.3801;4.4899;0;0;0;0;-0.012
01/01/10 19:00;0;0;-0.012;0;0;90;0;5.8401;3.13;0;0;0;0;-0.012
01/01/10 20:00;0;0;-0.012;0;0;90;0;5.4098;2.88;0;0;0;0;-0.012
01/01/10 21:00;0;0;-0.012;0;0;90;0;4.9802;2.63;0;0;0;0;-0.012
01/01/10 22:00;0;0;-0.012;0;0;90;0;4.5597;2.3701;0;0;0;0;-0.012
01/01/10 23:00;0;0;-0.012;0;0;90;0;4.5101;2.34;0;0;0;0;-0.012
02/01/10 00:00;0;0;-0.012;0;0;90;0;4.4598;2.3201;0;0;0;0;-0.012
02/01/10 01:00;0;0;-0.012;0;0;90;0;4.4102;2.29;0;0;0;0;-0.012
02/01/10 02:00;0;0;-0.012;0;0;90;0;4.2802;2.4101;0;0;0;0;-0.012
02/01/10 03:00;0;0;-0.012;0;0;90;0;4.1503;2.5301;0;0;0;0;-0.012
02/01/10 04:00;0;0;-0.012;0;0;90;0;4.0301;2.6499;0;0;0;0;-0.012
02/01/10 05:00;0;0;-0.012;0;0;90;0;3.75;2.5699;0;0;0;0;-0.012
02/01/10 06:00;0;0;-0.012;0;0;90;0;3.4797;2.4901;0;0;0;0;-0.012
02/01/10 07:00;0;0;-0.012;0;0;90;0;3.2101;2.4101;0;0;0;0;-0.012
02/01/10 08:00;0;0;-0.012;0;0;90;0;3.6103;2.14;0;0;0;0;-0.012
02/01/10 09:00;145.66;38.662;37.425;4.6033;-54.686;69.047;7.9295;4.0099;1.8701;0;8.8236;56.902;679.46;37.425
02/01/10 10:00;201.4;57.283;56.067;13.124;-43.951;56.825;17.945;4.4102;1.5999;0;11.508;84.153;680.7;56.067
02/01/10 11:00;352.69;100.58;99.192;20.122;-31.494;45.713;23.252;5.5397;1.8701;0;18.126;149.09;674.66;99.192
02/01/10 12:00;244.74;69.52;68.283;24.862;-17.425;37.16;25.905;6.6797;2.13;0;15.376;102.99;675;68.283
02/01/10 13:00;346.14;97.985;96.62;26.816;-2.2075;33.219;26.833;7.8198;2.3999;0;20.199;146.37;669.45;96.62
02/01/10 14:00;160.81;45.014;43.784;25.721;13.172;35.467;26.323;8.0398;2.55;0;13.726;67.125;670.6;43.784
02/01/10 15:00;90.176;24.785;23.518;21.727;27.642;42.941;24.221;8.2598;2.7001;0;11.448;37.37;663.23;23.518
02/01/10 16:00;71.264;19.405;18.118;15.313;40.571;53.486;19.822;8.4799;2.8599;0;11.005;29.461;658.66;18.118
02/01/10 17:00;64.747;17.377;16.082;7.0592;51.891;65.627;11.346;7.2498;2.5801;0;9.5098;26.337;659.8;16.082
02/01/10 18:00;0;0;-0.012;1.2861;58.188;73.564;2.4388;6.0098;2.3099;0;0;0;0;-0.012
02/01/10 19:00;0;0;-0.012;0;0;90;0;4.7797;2.04;0;0;0;0;-0.012
02/01/10 20:00;0;0;-0.012;0;0;90;0;4.07;2.1601;0;0;0;0;-0.012
02/01/10 21:00;0;0;-0.012;0;0;90;0;3.37;2.2801;0;0;0;0;-0.012
02/01/10 22:00;0;0;-0.012;0;0;90;0;2.6701;2.3999;0;0;0;0;-0.012
02/01/10 23:00;0;0;-0.012;0;0;90;0;2.5199;2.39;0;0;0;0;-0.012
03/01/10 00:00;0;0;-0.012;0;0;90;0;2.3802;2.38;0;0;0;0;-0.012
03/01/10 01:00;0;0;-0.012;0;0;90;0;2.2398;2.3701;0;0;0;0;-0.012
03/01/10 02:00;0;0;-0.012;0;0;90;0;2.04;2.25;0;0;0;0;-0.012
03/01/10 03:00;0;0;-0.012;0;0;90;0;1.85;2.13;0;0;0;0;-0.012
03/01/10 04:00;0;0;-0.012;0;0;90;0;1.66;2.01;0;0;0;0;-0.012
03/01/10 05:00;0;0;-0.012;0;0;90;0;1.6698;1.97;0;0;0;0;-0.012
