PVSYST 7.2.4
;File;File date;Description
Projekt;Madrid_Project.PRJ;03/08/21 17h06;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Madrid_PVGIS_SARAH_2005 nach 2016.SIT;03/08/21 17h06;Madrid;Spain;Europe;;
Wetterdaten;Cármenes_PVGIS_SARAH_2013.MET;03/08/21 17h04;Cármenes;PVGIS-SARAH;2013;
Simulationsvariante;Madrid_Project.VC0;03/08/21 17h47;Neue Simulationsvariante;
Simulation date;;03/08/21 17h51

Simulation:;Stundenwerte; von 01/01/13; bis 31/12/13 

Datum;GlobInc;EArray;E_Grid;HSol;AzSol;AngInc;AngProf;T_Amb;WindVel;TExtON;TArray;IArray;UArray;EOutInv
     ;W/m²;kW;kW;°;°;°;°;°C;m/s;°C;°C;A;V;kW

01/01/13 00:00;0;0;-0.012;0;0;90;0;0.0002;0;0;0;0;0;-0.012
01/01/13 01:00;0;0;-0.012;0;0;90;0;3.37;2.8;0;0;0;0;-0.012
01/01/13 02:00;0;0;-0.012;0;0;90;0;3.1498;2.91;0;0;0;0;-0.012
01/01/13 03:00;0;0;-0.012;0;0;90;0;2.9297;3.0099;0;0;0;0;-0.012
01/01/13 04:00;0;0;-0.012;0;0;90;0;2.7203;3.1199;0;0;0;0;-0.012
01/01/13 05:00;0;0;-0.012;0;0;90;0;2.9297;2.85;0;0;0;0;-0.012
01/01/13 06:00;0;0;-0.012;0;0;90;0;3.1398;2.5801;0;0;0;0;-0.012
01/01/13 07:00;0;0;-0.012;0;0;90;0;3.3599;2.3201;0;0;0;0;-0.012
01/01/13 08:00;0;0;-0.012;0;0;90;0;3.8999;2;0;0;0;0;-0.012
01/01/13 09:00;47.71;12.191;10.873;4.6203;-54.558;68.976;7.934;4.4399;1.68;0;6.0693;18.663;653.22;10.873
01/01/13 10:00;202.92;56.328;55.11;13.125;-43.82;56.771;17.908;4.9798;1.3701;0;12.136;83.86;671.68;55.11
01/01/13 11:00;163.53;45.183;43.953;20.101;-31.36;45.687;23.199;5.9803;1.4101;0;11.762;67.606;668.34;43.953
01/01/13 12:00;205.54;56.791;55.574;24.817;-17.293;37.174;25.842;6.9801;1.46;0;14.258;85.172;666.78;55.574
01/01/13 13:00;517.4;141.81;140.02;26.746;-2.0872;33.285;26.762;7.9799;1.5;0;26.667;218.23;649.84;140.02
01/01/13 14:00;872.37;229.01;225.75;25.63;13.272;35.574;26.24;8.2802;1.5;0;40.32;370.28;618.47;225.75
01/01/13 15:00;719.49;192.12;189.69;21.62;27.717;43.066;24.118;8.5899;1.5;0;34.767;304.04;631.88;189.69
01/01/13 16:00;412.5;112.89;111.38;15.195;40.623;53.614;19.688;8.8902;1.5;0;23.635;172.14;655.83;111.38
01/01/13 17:00;213.84;56.782;55.565;6.9355;51.924;65.753;11.158;7.6298;1.72;0;14.928;85.363;665.19;55.565
01/01/13 18:00;0;0;-0.012;1.1604;58.212;73.688;2.202;6.3701;1.94;0;0;0;0;-0.012
01/01/13 19:00;0;0;-0.012;0;0;90;0;5.1199;2.15;0;0;0;0;-0.012
01/01/13 20:00;0;0;-0.012;0;0;90;0;4.0998;2.2399;0;0;0;0;-0.012
01/01/13 21:00;0;0;-0.012;0;0;90;0;3.0798;2.34;0;0;0;0;-0.012
01/01/13 22:00;0;0;-0.012;0;0;90;0;2.0699;2.4301;0;0;0;0;-0.012
01/01/13 23:00;0;0;-0.012;0;0;90;0;2.0302;2.2399;0;0;0;0;-0.012
02/01/13 00:00;0;0;-0.012;0;0;90;0;1.9999;2.05;0;0;0;0;-0.012
02/01/13 01:00;0;0;-0.012;0;0;90;0;1.9702;1.86;0;0;0;0;-0.012
02/01/13 02:00;0;0;-0.012;0;0;90;0;1.7602;1.86;0;0;0;0;-0.012
02/01/13 03:00;0;0;-0.012;0;0;90;0;1.5501;1.86;0;0;0;0;-0.012
02/01/13 04:00;0;0;-0.012;0;0;90;0;1.3401;1.86;0;0;0;0;-0.012
02/01/13 05:00;0;0;-0.012;0;0;90;0;1.5899;2.09;0;0;0;0;-0.012
02/01/13 06:00;0;0;-0.012;0;0;90;0;1.8403;2.3201;0;0;0;0;-0.012
02/01/13 07:00;0;0;-0.012;0;0;90;0;2.1002;2.55;0;0;0;0;-0.012
02/01/13 08:00;0;0;-0.012;0;0;90;0;3.1498;2.55;0;0;0;0;-0.012
02/01/13 09:00;69.41;17.862;16.569;4.6219;-54.703;69.038;7.9646;4.1901;2.5401;0;6.5284;27.02;661.08;16.569
02/01/13 10:00;412.55;113.71;112.19;13.145;-43.966;56.812;17.976;5.2397;2.5401;0;19.848;170.93;665.22;112.19
02/01/13 11:00;659.73;178.88;176.7;20.144;-31.506;45.696;23.28;6.1897;3.42;0;30.061;278.33;642.68;176.7
02/01/13 12:00;846.26;223.85;220.71;24.887;-17.432;37.138;25.93;7.1397;4.2901;0;38.134;358.56;624.29;220.71
02/01/13 13:00;900.78;235.85;232.44;26.841;-2.2084;33.194;26.858;8.0897;5.1701;0;41.243;382.97;615.83;232.44
02/01/13 14:00;707.37;189.42;187.04;25.746;13.178;35.443;26.349;8.8101;5.14;0;34.6;299.6;632.23;187.04
02/01/13 15:00;619.72;166.84;164.81;21.751;27.653;42.922;24.248;9.5399;5.11;0;32.008;261.58;637.82;164.81
02/01/13 16:00;494.05;133.64;131.93;15.334;40.585;53.472;19.853;10.27;5.08;0;28.001;206.81;646.21;131.93
02/01/13 17:00;193.86;51.259;50.036;7.0784;51.907;65.617;11.38;9.1003;4.5;0;15.738;77.513;661.3;50.036
02/01/13 18:00;0;0;-0.012;1.3041;58.206;73.556;2.474;7.92;3.9199;0;0;0;0;-0.012
02/01/13 19:00;0;0;-0.012;0;0;90;0;6.7499;3.3399;0;0;0;0;-0.012
02/01/13 20:00;0;0;-0.012;0;0;90;0;6.02;3.36;0;0;0;0;-0.012
02/01/13 21:00;0;0;-0.012;0;0;90;0;5.2902;3.37;0;0;0;0;-0.012
02/01/13 22:00;0;0;-0.012;0;0;90;0;4.5698;3.39;0;0;0;0;-0.012
02/01/13 23:00;0;0;-0.012;0;0;90;0;4.1301;3.1899;0;0;0;0;-0.012
03/01/13 00:00;0;0;-0.012;0;0;90;0;3.6999;2.9801;0;0;0;0;-0.012
03/01/13 01:00;0;0;-0.012;0;0;90;0;3.2697;2.77;0;0;0;0;-0.012
03/01/13 02:00;0;0;-0.012;0;0;90;0;3.1801;2.7201;0;0;0;0;-0.012
03/01/13 03:00;0;0;-0.012;0;0;90;0;3.0899;2.67;0;0;0;0;-0.012
03/01/13 04:00;0;0;-0.012;0;0;90;0;2.9997;2.62;0;0;0;0;-0.012
03/01/13 05:00;0;0;-0.012;0;0;90;0;2.6402;2.59;0;0;0;0;-0.012
