PVSYST 7.2.4
;File;File date;Description
Projekt;Madrid_Project.PRJ;03/08/21 17h06;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Madrid_PVGIS_SARAH_2005 nach 2016.SIT;03/08/21 17h06;Madrid;Spain;Europe;;
Wetterdaten;Cármenes_PVGIS_SARAH_2009.MET;03/08/21 17h04;Cármenes;PVGIS-SARAH;2009;
Simulationsvariante;Madrid_Project.VC0;03/08/21 17h47;Neue Simulationsvariante;
Simulation date;;03/08/21 17h50

Simulation:;Stundenwerte; von 01/01/09; bis 31/12/09 

Datum;GlobInc;EArray;E_Grid;HSol;AzSol;AngInc;AngProf;T_Amb;WindVel;TExtON;TArray;IArray;UArray;EOutInv
     ;W/m²;kW;kW;°;°;°;°;°C;m/s;°C;°C;A;V;kW

01/01/09 00:00;0;0;-0.012;0;0;90;0;0.0001;0;0;0;0;0;-0.012
01/01/09 01:00;0;0;-0.012;0;0;90;0;6.02;1.5201;0;0;0;0;-0.012
01/01/09 02:00;0;0;-0.012;0;0;90;0;5.6199;1.5201;0;0;0;0;-0.012
01/01/09 03:00;0;0;-0.012;0;0;90;0;5.2198;1.5201;0;0;0;0;-0.012
01/01/09 04:00;0;0;-0.012;0;0;90;0;4.83;1.5201;0;0;0;0;-0.012
01/01/09 05:00;0;0;-0.012;0;0;90;0;4.92;1.11;0;0;0;0;-0.012
01/01/09 06:00;0;0;-0.012;0;0;90;0;5.01;0.7001;0;0;0;0;-0.012
01/01/09 07:00;0;0;-0.012;0;0;90;0;5.1;0.29;0;0;0;0;-0.012
01/01/09 08:00;0;0;-0.012;0;0;90;0;5.4503;0.22;0;0;0;0;-0.012
01/01/09 09:00;14.895;3.7823;2.3433;4.7753;-54.387;68.762;8.164;5.7999;0.15;0;6.3407;5.9887;631.57;2.3433
01/01/09 10:00;294.92;83.988;82.714;13.256;-43.626;56.573;18.028;6.1502;0.08;0;16.58;123.97;677.47;82.714
01/01/09 11:00;136.75;38.5;37.262;20.2;-31.138;45.519;23.261;7.4101;0.51;0;12.246;57.209;672.97;37.262
01/01/09 12:00;434.63;122.97;121.36;24.874;-17.047;37.065;25.87;8.67;0.9399;0;24.298;185.14;664.2;121.36
01/01/09 13:00;381.28;107.75;106.29;26.753;-1.8293;33.271;26.765;9.9299;1.3701;0;23.625;162.08;664.8;106.29
01/01/09 14:00;62.541;16.896;15.599;25.585;13.522;35.662;26.218;10.35;1.9099;0;12.568;25.859;653.39;15.599
01/01/09 15:00;142.23;39.577;38.341;21.531;27.945;43.222;24.066;10.77;2.45;0;15.813;59.529;664.84;38.341
01/01/09 16:00;58.556;15.743;14.442;15.07;40.824;53.806;19.587;11.19;2.9901;0;13.272;24.224;649.91;14.442
01/01/09 17:00;20.272;5.1636;3.7522;6.7854;52.1;65.964;10.962;10.2;2.66;0;10.932;8.2248;627.81;3.7522
01/01/09 18:00;0;0;-0.012;1.1604;58.212;73.688;2.202;9.2003;2.3301;0;0;0;0;-0.012
01/01/09 19:00;0;0;-0.012;0;0;90;0;8.2097;2;0;0;0;0;-0.012
01/01/09 20:00;0;0;-0.012;0;0;90;0;7.57;1.8201;0;0;0;0;-0.012
01/01/09 21:00;0;0;-0.012;0;0;90;0;6.9297;1.64;0;0;0;0;-0.012
01/01/09 22:00;0;0;-0.012;0;0;90;0;6.2997;1.4599;0;0;0;0;-0.012
01/01/09 23:00;0;0;-0.012;0;0;90;0;6.0103;1.33;0;0;0;0;-0.012
02/01/09 00:00;0;0;-0.012;0;0;90;0;5.7203;1.2;0;0;0;0;-0.012
02/01/09 01:00;0;0;-0.012;0;0;90;0;5.4302;1.0799;0;0;0;0;-0.012
02/01/09 02:00;0;0;-0.012;0;0;90;0;5.19;1.03;0;0;0;0;-0.012
02/01/09 03:00;0;0;-0.012;0;0;90;0;4.9602;0.97;0;0;0;0;-0.012
02/01/09 04:00;0;0;-0.012;0;0;90;0;4.7297;0.9201;0;0;0;0;-0.012
02/01/09 05:00;0;0;-0.012;0;0;90;0;4.4998;0.75;0;0;0;0;-0.012
02/01/09 06:00;0;0;-0.012;0;0;90;0;4.27;0.58;0;0;0;0;-0.012
02/01/09 07:00;0;0;-0.012;0;0;90;0;4.0402;0.4099;0;0;0;0;-0.012
02/01/09 08:00;0;0;-0.012;0;0;90;0;4.5698;0.53;0;0;0;0;-0.012
02/01/09 09:00;96.583;25.53;24.266;4.7772;-54.531;68.823;8.1956;5.1;0.6499;0;8.3156;37.896;673.7;24.266
02/01/09 10:00;322.54;91.96;90.646;13.277;-43.772;56.613;18.096;5.6303;0.7701;0;17.042;135.66;677.87;90.646
02/01/09 11:00;498.37;141.11;139.32;20.243;-31.284;45.528;23.342;6.83;0.8599;0;24.753;212.52;663.97;139.32
02/01/09 12:00;586.08;164.49;162.48;24.943;-17.186;37.028;25.959;8.0297;0.96;0;29.3;251.69;653.54;162.48
02/01/09 13:00;559.44;156.53;154.59;26.848;-1.95;33.179;26.861;9.2398;1.05;0;29.51;239.78;652.78;154.59
02/01/09 14:00;638.8;177.29;175.14;25.702;13.429;35.531;26.328;9.6302;1.2399;0;32.911;274.79;645.18;175.14
02/01/09 15:00;653.78;180.16;177.96;21.662;27.882;43.078;24.196;10.03;1.4301;0;33.778;280.1;643.18;177.96
02/01/09 16:00;405.62;113.74;112.22;15.21;40.787;53.664;19.752;10.42;1.6099;0;24.94;171.83;661.92;112.22
02/01/09 17:00;175.67;47.642;46.415;6.9284;52.084;65.828;11.186;9.6897;1.5299;0;15.708;71.217;668.97;46.415
02/01/09 18:00;0;0;-0.012;1.1421;58.37;73.774;2.177;8.9601;1.4499;0;0;0;0;-0.012
02/01/09 19:00;0;0;-0.012;0;0;90;0;8.2297;1.3701;0;0;0;0;-0.012
02/01/09 20:00;0;0;-0.012;0;0;90;0;7.57;1.55;0;0;0;0;-0.012
02/01/09 21:00;0;0;-0.012;0;0;90;0;6.9103;1.7301;0;0;0;0;-0.012
02/01/09 22:00;0;0;-0.012;0;0;90;0;6.2602;1.92;0;0;0;0;-0.012
02/01/09 23:00;0;0;-0.012;0;0;90;0;6.1301;1.8299;0;0;0;0;-0.012
03/01/09 00:00;0;0;-0.012;0;0;90;0;6.0103;1.7499;0;0;0;0;-0.012
03/01/09 01:00;0;0;-0.012;0;0;90;0;5.8899;1.6701;0;0;0;0;-0.012
03/01/09 02:00;0;0;-0.012;0;0;90;0;6.1398;1.49;0;0;0;0;-0.012
03/01/09 03:00;0;0;-0.012;0;0;90;0;6.3897;1.3001;0;0;0;0;-0.012
03/01/09 04:00;0;0;-0.012;0;0;90;0;6.65;1.12;0;0;0;0;-0.012
03/01/09 05:00;0;0;-0.012;0;0;90;0;6.6597;1.27;0;0;0;0;-0.012
