PVSYST 7.2.16
;File;File date;Description
Projekt;Testprojekt_Project.PRJ;22/06/22 16h17;Le_Havre_Projekt;
Geografischer Standort;Le Havre_PVGIS_API_TMY.SIT;22/06/22 16h17;Le Havre;France;Europe;;
Wetterdaten;Le Havre_PVGIS_SARAH_2008.MET;22/06/22 16h15;Le Havre;PVGIS-SARAH;2008;
Simulationsvariante;Testprojekt_Project.VC0;22/06/22 12h08;Halle_test;
Simulation date;;22/06/22 16h34

Simulation:;Stundenwerte; von 01/01/08; bis 31/12/08 

Datum;GlobInc;EArray;E_Grid;HSol;AzSol;AngInc;AngProf;T_Amb;WindVel;TArray;IArray;UArray;EOutInv
02/01/08 18:00;0;0;0;0;0;90;0;1,4399;5,31;0;0;0;0
02/01/08 19:00;0;0;0;0;0;90;0;0,9702;5,4499;0;0;0;0
02/01/08 20:00;0;0;0;0;0;90;0;-0,3402;5,4499;0;0;0;0
02/01/08 21:00;0;0;0;0;0;90;0;-0,25;5,2401;0;0;0;0
02/01/08 22:00;0;0;0;0;0;90;0;-0,2202;4,9;0;0;0;0
02/01/08 23:00;0;0;0;0;0;90;0;-0,1798;4,6201;0;0;0;0
03/01/08 00:00;0;0;0;0;0;90;0;-0,2301;4,4801;0;0;0;0
03/01/08 01:00;0;0;0;0;0;90;0;-0,2102;4,4801;0;0;0;0
03/01/08 02:00;0;0;0;0;0;90;0;-0,1499;4,55;0;0;0;0
03/01/08 03:00;0;0;0;0;0;90;0;-0,0399;4,55;0;0;0;0
03/01/08 04:00;0;0;0;0;0;90;0;0,0398;4,6899;0;0;0;0
03/01/08 05:00;0;0;0;0;0;90;0;0,1499;4,6899;0;0;0;0
03/01/08 06:00;0;0;0;0;0;90;0;0,2699;4,76;0;0;0;0
03/01/08 07:00;0;0;0;0;0;90;0;0,4801;4,6899;0;0;0;0
03/01/08 08:00;0;0;0;0;0;90;0;-0,0399;4,8299;0;0;0;0
03/01/08 09:00;0;0;0;2,407;-50,149;79,546;7,0565;0,2301;4,6899;0;0;0;0
03/01/08 10:00;37,223;0,3148;0,2859;8,0537;-40,306;70,473;15,941;0,7002;4,4801;2,0156;0,6603;476,81;0,2859
03/01/08 11:00;41,245;0,3505;0,3215;13,477;-27,333;60,676;19,474;1,5698;4;3,0321;0,7355;476,55;0,3215
03/01/08 12:00;52,624;0,4494;0,4203;16,871;-13,421;53,088;19,969;2,7398;4,14;4,6026;0,941;477,55;0,4203
03/01/08 13:00;74,464;0,6427;0,6132;17,922;1,0489;48,76;18,878;3,46;3,79;6,0936;1,3377;480,44;0,6132
03/01/08 14:00;39,417;0,3299;0,3009;16,521;15,473;48,576;16,57;4,34;4,14;5,7395;0,702;469,91;0,3009
03/01/08 15:00;13,013;0,1014;0,0492;12,811;29,266;52,578;12,975;4,99;4,0699;5,4575;0,2256;449,39;0,0492
03/01/08 16:00;171,55;1,4929;1,4602;7,1289;42,091;59,931;7,6872;5,1299;4,14;11,166;3,09;483,15;1,4602
03/01/08 17:00;0;0;0;1,9501;50,856;66,832;2,2713;4,7898;4,14;0;0;0;0
03/01/08 18:00;0;0;0;0;0;90;0;4,48;4,0699;0;0;0;0
03/01/08 19:00;0;0;0;0;0;90;0;4,3898;4,0699;0;0;0;0
03/01/08 20:00;0;0;0;0;0;90;0;3,3499;3,8601;0;0;0;0
03/01/08 21:00;0;0;0;0;0;90;0;2,9599;3,7201;0;0;0;0
03/01/08 22:00;0;0;0;0;0;90;0;2,7702;3,66;0;0;0;0
03/01/08 23:00;0;0;0;0;0;90;0;2,6999;3,52;0;0;0;0
04/01/08 00:00;0;0;0;0;0;90;0;2,7398;3,38;0;0;0;0
04/01/08 01:00;0;0;0;0;0;90;0;2,9201;3,52;0;0;0;0
04/01/08 02:00;0;0;0;0;0;90;0;3,6099;3,38;0;0;0;0
04/01/08 03:00;0;0;0;0;0;90;0;4,0098;3,17;0;0;0;0
04/01/08 04:00;0;0;0;0;0;90;0;4,1;3,4499;0;0;0;0
04/01/08 05:00;0;0;0;0;0;90;0;4,5298;3,66;0;0;0;0
04/01/08 06:00;0;0;0;0;0;90;0;4,86;3,38;0;0;0;0
04/01/08 07:00;0;0;0;0;0;90;0;5,0702;3,4499;0;0;0;0
04/01/08 08:00;0;0;0;0;0;90;0;4,3599;3,79;0;0;0;0
04/01/08 09:00;0;0;0;2,448;-50,298;79,569;7,2271;4,5198;3,8601;0;0;0;0
04/01/08 10:00;41,877;0,347;0,318;8,109;-40,452;70,478;16,115;5,51;4,41;6,9866;0,741;468,23;0,318
04/01/08 11:00;239,47;2,0683;2,0316;13,552;-27,472;60,654;19,626;6,7401;5,17;15,162;4,3115;479,73;2,0316
04/01/08 12:00;179,82;1,5642;1,531;16,968;-13,547;53,031;20,108;7,6899;5,17;14,091;3,2719;478,07;1,531
04/01/08 13:00;285,73;2,4893;2,4481;18,039;0,942;48,665;19,011;8,5202;4,4801;18,771;5,2394;475,12;2,4481
04/01/08 14:00;557,85;4,7491;4,6757;16,653;15,39;48,447;16,704;8,8101;5,4499;29,091;10,331;459,68;4,6757
04/01/08 15:00;37,957;0,3115;0,2826;12,954;29,207;52,43;13,118;8,6098;4,9701;9,9642;0,6769;460,26;0,2826
04/01/08 16:00;19,594;0,1554;0,1134;7,2788;42,054;59,777;7,8465;8,43;4,9;9,1352;0,3456;449,55;0,1134
04/01/08 17:00;0;0;0;1,9766;51,026;66,846;2,3063;8,06;5,2401;0;0;0;0
04/01/08 18:00;0;0;0;0;0;90;0;8,0899;5,93;0;0;0;0
04/01/08 19:00;0;0;0;0;0;90;0;8,6098;6,4801;0;0;0;0
04/01/08 20:00;0;0;0;0;0;90;0;8,6601;6,8299;0;0;0;0
04/01/08 21:00;0;0;0;0;0;90;0;8,5899;7,2401;0;0;0;0
04/01/08 22:00;0;0;0;0;0;90;0;8,5501;7,7199;0;0;0;0
04/01/08 23:00;0;0;0;0;0;90;0;8,6098;8,83;0;0;0;0
05/01/08 00:00;0;0;0;0;0;90;0;8,9002;9,45;0;0;0;0
05/01/08 01:00;0;0;0;0;0;90;0;8,96;7,79;0;0;0;0
05/01/08 02:00;0;0;0;0;0;90;0;8,7802;6,14;0;0;0;0
05/01/08 03:00;0;0;0;0;0;90;0;8,4599;5,38;0;0;0;0
05/01/08 04:00;0;0;0;0;0;90;0;7,8399;5,4499;0;0;0;0
05/01/08 05:00;0;0;0;0;0;90;0;7,3398;5,79;0;0;0;0
05/01/08 06:00;0;0;0;0;0;90;0;7,1799;5,79;0;0;0;0
05/01/08 07:00;0;0;0;0;0;90;0;7,1799;6,14;0;0;0;0
05/01/08 08:00;0;0;0;0;0;90;0;6,8198;5,4499;0;0;0;0
05/01/08 09:00;0;0;0;2,4953;-50,45;79,587;7,4196;6,8701;5,5899;0;0;0;0
05/01/08 10:00;56,599;0,4661;0,4369;8,1708;-40,6;70,478;16,303;7,17;5,52;9,1413;0,9939;468,89;0,4369
05/01/08 11:00;152,29;1,3089;1,2769;13,634;-27,612;60,626;19,788;7,7402;5,31;13,11;2,7414;477,44;1,2769
05/01/08 12:00;128,54;1,1074;1,0763;17,071;-13,674;52,968;20,254;8,1402;5,31;12,707;2,3277;475,75;1,0763
05/01/08 13:00;56,415;0,4713;0,4421;18,161;0,8362;48,563;19,151;8,6098;5,17;10,617;1,0111;466,09;0,4421
05/01/08 14:00;70,86;0,5966;0,5672;16,792;15,309;48,312;16,845;9,0402;4,76;11,561;1,2744;468,16;0,5672
05/01/08 15:00;27,818;0,2241;0,1951;13,104;29,151;52,277;13,267;8,9899;5,79;9,9849;0,4932;454,39;0,1951
05/01/08 16:00;9,7967;0,0737;0,0163;7,4342;42,021;59,618;8,0119;8,4699;5,66;8,8262;0,1689;436,51;0,0163
05/01/08 17:00;0;0;0;2,0079;51,201;66,857;2,3471;8,2398;5,31;0;0;0;0
05/01/08 18:00;0;0;0;0;0;90;0;7,8598;4,55;0;0;0;0
05/01/08 19:00;0;0;0;0;0;90;0;7,5799;4,28;0;0;0;0
05/01/08 20:00;0;0;0;0;0;90;0;8,18;5,31;0;0;0;0
05/01/08 21:00;0;0;0;0;0;90;0;8,2602;5,31;0;0;0;0
05/01/08 22:00;0;0;0;0;0;90;0;8,1501;5,31;0;0;0;0
05/01/08 23:00;0;0;0;0;0;90;0;7,7801;5,1001;0;0;0;0
06/01/08 00:00;0;0;0;0;0;90;0;7,6401;4,9;0;0;0;0
06/01/08 01:00;0;0;0;0;0;90;0;7,3;4,4801;0;0;0;0
06/01/08 02:00;0;0;0;0;0;90;0;7,2302;4,2099;0;0;0;0
06/01/08 03:00;0;0;0;0;0;90;0;6,6699;3,93;0;0;0;0
06/01/08 04:00;0;0;0;0;0;90;0;6,3402;3,7201;0;0;0;0
06/01/08 05:00;0;0;0;0;0;90;0;6,1201;3,3099;0;0;0;0
06/01/08 06:00;0;0;0;0;0;90;0;5,4098;2,9;0;0;0;0
06/01/08 07:00;0;0;0;0;0;90;0;5,0602;2,5499;0;0;0;0
06/01/08 08:00;0;0;0;0;0;90;0;4,2902;2,8299;0;0;0;0
06/01/08 09:00;0;0;0;2,5489;-50,604;79,6;7,6347;3,7598;3,03;0;0;0;0
06/01/08 10:00;171,14;1,4053;1,3729;8,2392;-40,749;70,473;16,507;4,2598;2,9701;9,9216;2,8989;484,75;1,3729
06/01/08 11:00;146,29;1,2681;1,2363;13,723;-27,753;60,592;19,961;5,5398;2,8299;10,689;2,6322;481,76;1,2363
06/01/08 12:00;74,656;0,6354;0,606;17,181;-13,8;52,898;20,409;6,8198;3,1001;9,4683;1,3423;473,42;0,606
06/01/08 13:00;99,827;0,8563;0,8262;18,291;0,7316;48,454;19,298;7,4399;3,1001;10,983;1,8021;475,19;0,8262
06/01/08 14:00;97,251;0,8325;0,8025;16,937;15,23;48,171;16,992;7,8802;3,3099;11,335;1,7562;474,04;0,8025
06/01/08 15:00;134,07;1,1617;1,1303;13,259;29,099;52,118;13,422;7,9898;3,4499;12,772;2,4387;476,34;1,1303
06/01/08 16:00;130,26;1,1194;1,0882;7,595;41,992;59,455;8,1833;7,7502;4;12,356;2,3486;476,61;1,0882
06/01/08 17:00;0;0;0;2,1706;51,187;66,696;2,5368;7,2402;4,14;0;0;0;0
06/01/08 18:00;0;0;0;0;0;90;0;6,9;4,55;0;0;0;0
06/01/08 19:00;0;0;0;0;0;90;0;6,9698;5,1001;0;0;0;0
06/01/08 20:00;0;0;0;0;0;90;0;7,5002;5,52;0;0;0;0
06/01/08 21:00;0;0;0;0;0;90;0;8,1198;5,7199;0;0;0;0
06/01/08 22:00;0;0;0;0;0;90;0;8,96;5,7199;0;0;0;0
06/01/08 23:00;0;0;0;0;0;90;0;10,24;5,66;0;0;0;0
07/01/08 00:00;0;0;0;0;0;90;0;10,8;6,4801;0;0;0;0
07/01/08 01:00;0;0;0;0;0;90;0;10,49;7,5899;0;0;0;0
07/01/08 02:00;0;0;0;0;0;90;0;9,5298;6,9699;0;0;0;0
07/01/08 03:00;0;0;0;0;0;90;0;9,0601;6,3399;0;0;0;0
07/01/08 04:00;0;0;0;0;0;90;0;8,5401;7,7199;0;0;0;0
07/01/08 05:00;0;0;0;0;0;90;0;8,2602;7,5899;0;0;0;0
07/01/08 06:00;0;0;0;0;0;90;0;8,0899;7,93;0;0;0;0
07/01/08 07:00;0;0;0;0;0;90;0;8,0102;7,93;0;0;0;0
07/01/08 08:00;0;0;0;0;0;90;0;7,8598;7,52;0;0;0;0
07/01/08 09:00;0;0;0;2,6088;-50,761;79,609;7,8727;7,7298;7,3801;0;0;0;0
07/01/08 10:00;173,8;1,407;1,3746;8,314;-40,901;70,463;16,725;7,8702;7,0999;13,64;2,9468;477,45;1,3746
07/01/08 11:00;282,47;2,4183;2,378;13,818;-27,895;60,552;20,145;8,5302;7,17;18,483;5,0878;475,31;2,378
07/01/08 12:00;508,98;4,3328;4,2675;17,298;-13,926;52,822;20,572;9,3001;6,41;27,697;9,3768;462,08;4,2675
07/01/08 13:00;573,51;4,8528;4,777;18,427;0,6282;48,338;19,452;9,6901;6,8299;30,562;10,622;456,86;4,777
07/01/08 14:00;375,63;3,2429;3,1918;17,088;15,154;48,023;17,146;9,8998;7,2401;23,46;6,9123;469,14;3,1918
07/01/08 15:00;293,42;2,5428;2,5009;13,42;29,051;51,953;13,583;9,8998;6,9699;20,449;5,3852;472,18;2,5009
07/01/08 16:00;26,151;0,2098;0,178;7,7612;41,968;59,287;8,3605;9,6802;7,45;10,619;0,4642;451,91;0,178
07/01/08 17:00;0;0;0;2,2115;51,372;66,701;2,5897;9,1502;7,17;0;0;0;0
07/01/08 18:00;0;0;0;0;0;90;0;8,71;7,03;0;0;0;0
07/01/08 19:00;0;0;0;0;0;90;0;8,3802;6,3399;0;0;0;0
07/01/08 20:00;0;0;0;0;0;90;0;7,8199;5,03;0;0;0;0
07/01/08 21:00;0;0;0;0;0;90;0;7,3801;4,28;0;0;0;0
07/01/08 22:00;0;0;0;0;0;90;0;6,8901;3,79;0;0;0;0
07/01/08 23:00;0;0;0;0;0;90;0;6,4498;3,66;0;0;0;0
08/01/08 00:00;0;0;0;0;0;90;0;6,2899;3,79;0;0;0;0
08/01/08 01:00;0;0;0;0;0;90;0;6,4602;3,93;0;0;0;0
08/01/08 02:00;0;0;0;0;0;90;0;6,3502;4;0;0;0;0
08/01/08 03:00;0;0;0;0;0;90;0;6,2301;4,2099;0;0;0;0
08/01/08 04:00;0;0;0;0;0;90;0;6,3601;4,3401;0;0;0;0
08/01/08 05:00;0;0;0;0;0;90;0;6,3601;4,55;0;0;0;0
08/01/08 06:00;0;0;0;0;0;90;0;6,39;4,8299;0;0;0;0
08/01/08 07:00;0;0;0;0;0;90;0;6,4398;4,9;0;0;0;0
08/01/08 08:00;0;0;0;0;0;90;0;6,2899;4,6201;0;0;0;0
08/01/08 09:00;0;0;0;2,5488;-51,115;79,808;7,8308;6,26;4,76;0;0;0;0
08/01/08 10:00;129,01;1,0565;1,0256;8,3953;-41,055;70,448;16,959;6,5902;5,03;10,919;2,2076;478,58;1,0256
08/01/08 11:00;74,16;0,6289;0,5995;13,92;-28,038;60,507;20,339;7,29;4,9;9,9184;1,3315;472,34;0,5995
08/01/08 12:00;374,11;3,2451;3,194;17,421;-14,052;52,74;20,743;7,8902;6,55;21,319;6,8561;473,31;3,194
08/01/08 13:00;524,73;4,4902;4,4228;18,57;0,5262;48,216;19,613;8,4101;6,8299;27,441;9,7034;462,74;4,4228
08/01/08 14:00;169,88;1,4735;1,4408;17,246;15,081;47,869;17,306;8,7598;7,03;14,825;3,0969;475,79;1,4408
08/01/08 15:00;432,33;3,7255;3,6681;13,587;29,006;51,783;13,75;8,9002;6,9;24,512;7,9638;467,8;3,6681
08/01/08 16:00;96,79;0,8243;0,7943;7,9325;41,948;59,115;8,5435;8,5202;5,93;11,953;1,744;472,65;0,7943
08/01/08 17:00;0;0;0;2,3839;51,368;66,532;2,7914;8,19;6,0001;0;0;0;0
08/01/08 18:00;0;0;0;0;0;90;0;7,9499;6,14;0;0;0;0
08/01/08 19:00;0;0;0;0;0;90;0;7,8702;6,28;0;0;0;0
08/01/08 20:00;0;0;0;0;0;90;0;8,3598;7,03;0;0;0;0
08/01/08 21:00;0;0;0;0;0;90;0;8,1701;7,03;0;0;0;0
08/01/08 22:00;0;0;0;0;0;90;0;7,7801;6,9699;0;0;0;0
08/01/08 23:00;0;0;0;0;0;90;0;7,6999;6,9699;0;0;0;0
09/01/08 00:00;0;0;0;0;0;90;0;7,7402;6,9699;0;0;0;0
09/01/08 01:00;0;0;0;0;0;90;0;7,6999;6,9;0;0;0;0
09/01/08 02:00;0;0;0;0;0;90;0;8,1402;7,2401;0;0;0;0
09/01/08 03:00;0;0;0;0;0;90;0;8,57;6,9;0;0;0;0
09/01/08 04:00;0;0;0;0;0;90;0;8,82;5,31;0;0;0;0
09/01/08 05:00;0;0;0;0;0;90;0;8,2099;4,76;0;0;0;0
09/01/08 06:00;0;0;0;0;0;90;0;7,2302;4;0;0;0;0
09/01/08 07:00;0;0;0;0;0;90;0;6,53;3,7201;0;0;0;0
09/01/08 08:00;0;0;0;0;0;90;0;7,0201;4,14;0;0;0;0
09/01/08 09:00;0;0;0;2,621;-51,277;79,807;8,1163;6,5599;4,6201;0;0;0;0
09/01/08 10:00;189,44;1,5412;1,5082;8,4831;-41,211;70,427;17,208;6,3801;4,8299;12,648;3,2063;480,69;1,5082
09/01/08 11:00;372,63;3,1915;3,1411;14,029;-28,182;60,456;20,543;6,79;5,03;19,914;6,708;475,78;3,1411
09/01/08 12:00;526,87;4,507;4,4394;17,552;-14,178;52,651;20,923;7,6899;6,0001;26,724;9,7095;464,19;4,4394
09/01/08 13:00;389,97;3,3847;3,3318;18,719;0,4256;48,088;19,781;8,1501;6,0001;22,203;7,1703;472,04;3,3318
09/01/08 14:00;418,54;3,6232;3,5671;17,409;15,01;47,709;17,472;8,4201;5,93;23,539;7,7146;469,65;3,5671
09/01/08 15:00;128,01;1,106;1,0748;13,759;28,965;51,608;13,923;8,3902;5,31;12,957;2,3272;475,24;1,0748
09/01/08 16:00;52,257;0,4367;0,4076;8,1089;41,932;58,939;8,7322;8,07;4,55;9,9309;0,9367;466,18;0,4076
09/01/08 17:00;0;0;0;2,434;51,564;66,53;2,856;7,5898;4,2099;0;0;0;0
09/01/08 18:00;0;0;0;0;0;90;0;6,7601;4,14;0;0;0;0
09/01/08 19:00;0;0;0;0;0;90;0;6,2999;4,2099;0;0;0;0
09/01/08 20:00;0;0;0;0;0;90;0;6,6799;4,76;0;0;0;0
09/01/08 21:00;0;0;0;0;0;90;0;6,66;5,03;0;0;0;0
09/01/08 22:00;0;0;0;0;0;90;0;6,7302;5,38;0;0;0;0
09/01/08 23:00;0;0;0;0;0;90;0;6,7601;5,4499;0;0;0;0
10/01/08 00:00;0;0;0;0;0;90;0;6,6998;5,52;0;0;0;0
10/01/08 01:00;0;0;0;0;0;90;0;6,5698;5,7199;0;0;0;0
10/01/08 02:00;0;0;0;0;0;90;0;6,3098;5,66;0;0;0;0
10/01/08 03:00;0;0;0;0;0;90;0;6,3198;5,66;0;0;0;0
10/01/08 04:00;0;0;0;0;0;90;0;6,39;5,8601;0;0;0;0
10/01/08 05:00;0;0;0;0;0;90;0;6,6102;6,14;0;0;0;0
10/01/08 06:00;0;0;0;0;0;90;0;7,0898;6,14;0;0;0;0
10/01/08 07:00;0;0;0;0;0;90;0;7,5301;6,0001;0;0;0;0
10/01/08 08:00;0;0;0;0;0;90;0;7,5301;6,28;0;0;0;0
10/01/08 09:00;0;0;0;2,6996;-51,441;79,802;8,4268;8,1198;6,7601;0;0;0;0
10/01/08 10:00;35,783;0,2922;0,2633;8,5774;-41,368;70,402;17,472;8,9102;7,03;10,187;0,6371;458,68;0,2633
10/01/08 11:00;188,98;1,6139;1,5804;14,145;-28,327;60,4;20,758;9,8102;7,52;16,483;3,4059;473,85;1,5804
10/01/08 12:00;185,73;1,5983;1,5648;17,688;-14,304;52,557;21,11;10,46;8,1401;17,09;3,3823;472,54;1,5648
10/01/08 13:00;146,12;1,2482;1,2165;18,875;0,3266;47,953;19,955;11,1;7,0999;16,311;2,6532;470,46;1,2165
10/01/08 14:00;167,77;1,4389;1,4064;17,579;14,942;47,543;17,644;11,41;6,69;17,414;3,0588;470,41;1,4064
10/01/08 15:00;87,611;0,7368;0,7071;13,938;28,927;51,427;14,102;11,59;8,9699;14,718;1,5833;465,33;0,7071
10/01/08 16:00;26,961;0,2149;0,1841;8,2904;41,921;58,759;8,9265;11,45;8,41;12,419;0,479;448,67;0,1841
10/01/08 17:00;0;0;0;2,4884;51,764;66,526;2,926;11,23;8,0001;0;0;0;0
10/01/08 18:00;0;0;0;0;0;90;0;10,97;7,93;0;0;0;0
10/01/08 19:00;0;0;0;0;0;90;0;10,77;7,8599;0;0;0;0
10/01/08 20:00;0;0;0;0;0;90;0;10,61;8,2099;0;0;0;0
10/01/08 21:00;0;0;0;0;0;90;0;10,64;8,3399;0;0;0;0
10/01/08 22:00;0;0;0;0;0;90;0;10,65;8,4799;0;0;0;0
10/01/08 23:00;0;0;0;0;0;90;0;10,3;8,41;0;0;0;0
11/01/08 00:00;0;0;0;0;0;90;0;10,21;8,0001;0;0;0;0
11/01/08 01:00;0;0;0;0;0;90;0;10,12;8,07;0;0;0;0
11/01/08 02:00;0;0;0;0;0;90;0;10,01;8,55;0;0;0;0
11/01/08 03:00;0;0;0;0;0;90;0;9,98;8,4799;0;0;0;0
11/01/08 04:00;0;0;0;0;0;90;0;9,84;7,31;0;0;0;0
11/01/08 05:00;0;0;0;0;0;90;0;9,47;7,03;0;0;0;0
11/01/08 06:00;0;0;0;0;0;90;0;9,33;7,52;0;0;0;0
11/01/08 07:00;0;0;0;0;0;90;0;9,3101;7,93;0;0;0;0
11/01/08 08:00;0;0;0;0;0;90;0;9,0202;7,31;0;0;0;0
11/01/08 09:00;0;0;0;2,7844;-51,607;79,792;8,7627;9,0202;7,2401;0;0;0;0
11/01/08 10:00;64,149;0,5254;0,4962;8,678;-41,527;70,371;17,752;9,0601;7,66;11,292;1,1261;466,57;0,4962
11/01/08 11:00;86,075;0,7274;0,6978;14,266;-28,473;60,338;20,983;9,22;7,8599;12,273;1,5477;469,99;0,6978
11/01/08 12:00;39,625;0,3245;0,2956;17,832;-14,429;52,456;21,305;9,4899;7,7199;10,904;0,7069;459,06;0,2956
11/01/08 13:00;207,53;1,7967;1,7618;19,037;0,2291;47,811;20,136;9,6901;7,2401;17,111;3,7895;474,11;1,7618
11/01/08 14:00;261,9;2,2723;2,234;17,755;14,877;47,37;17,822;9,8102;6,9;19,214;4,8026;473,15;2,234
11/01/08 15:00;45,015;0,3704;0,3414;14,121;28,894;51,242;14,286;9,9302;7,03;11,536;0,8051;460,08;0,3414
11/01/08 16:00;9,9509;0,0745;0,0173;8,4768;41,915;58,574;9,1263;9,4999;6,4801;9,8615;0,1715;434,57;0,0173
11/01/08 17:00;0;0;0;2,6746;51,775;66,348;3,1453;8,9102;6,41;0;0;0;0
11/01/08 18:00;0;0;0;0;0;90;0;8,1999;6,8299;0;0;0;0
11/01/08 19:00;0;0;0;0;0;90;0;7,5201;6,9699;0;0;0;0
11/01/08 20:00;0;0;0;0;0;90;0;7,1899;7,3801;0;0;0;0
11/01/08 21:00;0;0;0;0;0;90;0;6,6898;7,66;0;0;0;0
11/01/08 22:00;0;0;0;0;0;90;0;6,2301;8,0001;0;0;0;0
11/01/08 23:00;0;0;0;0;0;90;0;6,2102;8,41;0;0;0;0
12/01/08 00:00;0;0;0;0;0;90;0;6,2102;8,83;0;0;0;0
12/01/08 01:00;0;0;0;0;0;90;0;6,1101;8,2099;0;0;0;0
