PVSYST 7.2.16
;File;File date;Description
Projekt;Testprojekt_Project.PRJ;22/06/22 16h17;Le_Havre_Projekt;
Geografischer Standort;Le Havre_PVGIS_API_TMY.SIT;22/06/22 16h17;Le Havre;France;Europe;;
Wetterdaten;Le Havre_PVGIS_SARAH_2008.MET;22/06/22 16h15;Le Havre;PVGIS-SARAH;2008;
Simulationsvariante;Testprojekt_Project.VC0;22/06/22 12h08;Halle_test;
Simulation date;;22/06/22 16h34

Simulation:;Stundenwerte; von 01/01/08; bis 31/12/08 

Datum;GlobInc;EArray;E_Grid;HSol;AzSol;AngInc;AngProf;T_Amb;WindVel;TArray;IArray;UArray;EOutInv
     ;W/m²;kW;kW;°;°;°;°;°C;m/s;°C;A;V;kW

01/01/08 00:00;0;0;0;0;0;90;0;0;0;0;0;0;0
01/01/08 01:00;0;0;0;0;0;90;0;2,7602;1,86;0;0;0;0
01/01/08 02:00;0;0;0;0;0;90;0;2,3498;1,79;0;0;0;0
01/01/08 03:00;0;0;0;0;0;90;0;2,1501;1,66;0;0;0;0
01/01/08 04:00;0;0;0;0;0;90;0;1,7302;1,66;0;0;0;0
01/01/08 05:00;0;0;0;0;0;90;0;1,5599;1,66;0;0;0;0
01/01/08 06:00;0;0;0;0;0;90;0;1,41;1,66;0;0;0;0
01/01/08 07:00;0;0;0;0;0;90;0;1,4702;1,52;0;0;0;0
01/01/08 08:00;0;0;0;0;0;90;0;2,0599;1,7201;0;0;0;0
01/01/08 09:00;0;0;0;2,4679;-49,665;79,295;7,0701;2,0599;1,66;0;0;0;0
01/01/08 10:00;45,556;0,3831;0,3541;7,9625;-40,022;70,447;15,639;2,42;1,5901;4,0179;0,8048;476,04;0,3541
01/01/08 11:00;74,759;0,6453;0,6158;13,346;-27,06;60,703;19,201;3,0501;1,5901;5,6888;1,3406;481,33;0,6158
01/01/08 12:00;202,72;1,7913;1,7565;16,699;-13,17;53,183;19,718;4,1498;1,4501;11,349;3,6913;485,27;1,7565
01/01/08 13:00;285,05;2,5156;2,4741;17,71;1,2658;48,931;18,634;5,3202;1,38;15,516;5,2251;481,45;2,4741
01/01/08 14:00;284,71;2,5084;2,467;16,276;15,646;48,813;16,321;5,9602;1,4501;16,159;5,2239;480,19;2,467
01/01/08 15:00;288;2,5278;2,4861;12,543;29,393;52,856;12,708;6,65;1,7201;16,964;5,2801;478,74;2,4861
01/01/08 16:00;230,41;1,9924;1,9562;6,8457;42,177;60,225;7,3868;6,65;1,86;14,757;4,1506;480,03;1,9562
01/01/08 17:00;0;0;0;1,7865;50,725;66,96;2,078;5,9801;2,2101;0;0;0;0
01/01/08 18:00;0;0;0;0;0;90;0;5,2101;2,4801;0;0;0;0
01/01/08 19:00;0;0;0;0;0;90;0;5,23;2,8299;0;0;0;0
01/01/08 20:00;0;0;0;0;0;90;0;4,7898;2,76;0;0;0;0
01/01/08 21:00;0;0;0;0;0;90;0;4,4501;3,1001;0;0;0;0
01/01/08 22:00;0;0;0;0;0;90;0;4,0601;3,52;0;0;0;0
01/01/08 23:00;0;0;0;0;0;90;0;3,4301;3,79;0;0;0;0
02/01/08 00:00;0;0;0;0;0;90;0;2,8;4,0699;0;0;0;0
02/01/08 01:00;0;0;0;0;0;90;0;1,9802;4;0;0;0;0
02/01/08 02:00;0;0;0;0;0;90;0;1,6899;4,6201;0;0;0;0
02/01/08 03:00;0;0;0;0;0;90;0;1,4299;4,8299;0;0;0;0
02/01/08 04:00;0;0;0;0;0;90;0;1,1998;5,17;0;0;0;0
02/01/08 05:00;0;0;0;0;0;90;0;1,03;5,2401;0;0;0;0
02/01/08 06:00;0;0;0;0;0;90;0;0,8701;5,31;0;0;0;0
02/01/08 07:00;0;0;0;0;0;90;0;0,8302;5,7199;0;0;0;0
02/01/08 08:00;0;0;0;0;0;90;0;0,8302;6,0699;0;0;0;0
02/01/08 09:00;0;0;0;2,3723;-50,003;79,519;6,9075;0,6599;5,79;0;0;0;0
02/01/08 10:00;55,696;0,4708;0,4417;8,0048;-40,163;70,462;15,783;0,6699;5,52;2,598;0,9759;482,47;0,4417
02/01/08 11:00;75,841;0,6602;0,6307;13,408;-27,196;60,692;19,332;1,0598;5,79;3,7315;1,3593;485,7;0,6307
02/01/08 12:00;247,11;2,207;2,1693;16,782;-13,296;53,139;19,839;1,7701;5,8601;10,544;4,509;489,47;2,1693
02/01/08 13:00;163,77;1,4544;1,4218;17,813;1,1569;48,849;18,753;2,5401;5,8601;8,3486;2,9782;488,35;1,4218
02/01/08 14:00;491,11;4,3148;4,2497;16,395;15,558;48,698;16,442;3,0102;5,5899;20,716;9,0606;476,22;4,2497
02/01/08 15:00;378,44;3,351;3,2985;12,674;29,328;52,72;12,838;3,1601;5,4499;16,716;6,9479;482,3;3,2985
02/01/08 16:00;252,51;2,2166;2,1788;6,9845;42,132;60,081;7,5339;2,8299;4,9701;11,688;4,5487;487,31;2,1788
02/01/08 17:00;0;0;0;1,8027;50,885;66,982;2,1003;2,0599;5,17;0;0;0;0
